audience_id,audience_name,total_impressions,total_clicks,total_likes,total_shares,total_comments,ctr,shares_per_view,comments_per_view,likes_per_view,audience_rank
9,"Frequent Travelers",3132126,89681,10080,2939,1539,0.02863,0.00094,0.00049,0.00322,1
3,"Young Working Women",16001761,405810,46289,12106,6958,0.02536,0.00076,0.00043,0.00289,2
4,"Startup Founders",10776160,270166,31197,8261,4494,0.02507,0.00077,0.00042,0.00290,3
1,"Urban Tech Professionals",26559510,648285,72853,18743,10537,0.02441,0.00071,0.00040,0.00274,4
11,"Parents With Young Kids",6544908,145772,17329,4664,2667,0.02227,0.00071,0.00041,0.00265,5
2,"College Students",8198110,180474,19464,5793,3172,0.02201,0.00071,0.00039,0.00237,6
15,"Health Conscious Consumers",17580992,384684,43844,11939,6515,0.02188,0.00068,0.00037,0.00249,7
6,"Small Business Owners",10144498,221887,24358,6402,3489,0.02187,0.00063,0.00034,0.00240,8
7,"Fitness Enthusiasts",9923676,209290,23336,6218,3241,0.02109,0.00063,0.00033,0.00235,9
12,"Software Developers",16380244,327343,37432,9740,5283,0.01998,0.00059,0.00032,0.00229,10
8,"Luxury Shoppers",16604429,306998,38365,9610,5607,0.01849,0.00058,0.00034,0.00231,11
10,"Online Deal Hunters",32505777,599084,68164,17859,9892,0.01843,0.00055,0.00030,0.00210,12
13,"Finance Professionals",8366322,140562,15757,4589,2302,0.01680,0.00055,0.00028,0.00188,13
5,"Digital Marketing Professionals",12624837,203414,23837,6288,3303,0.01611,0.00050,0.00026,0.00189,14
14,Gamers,5353164,75855,8802,2150,1313,0.01417,0.00040,0.00025,0.00164,15
