campaign_id,campaign_name,ad_id,ad_name,total_impressions,total_clicks,ctr,campaign_average_impressions,campaign_average_ctr
101,"Summer Electronics Sale",2009,"Developer Laptop Ad",1316127,7598,0.00577,1001767.4167,0.020143333
101,"Summer Electronics Sale",2004,"Top Gadget Deals",1284430,7552,0.00588,1001767.4167,0.020143333
102,"Fashion Brand Awareness",2014,"Fashion Video Lookbook",1326771,7850,0.00592,997868.5000,0.017280000
102,"Fashion Brand Awareness",2024,"Budget Fashion Picks",1307662,6060,0.00463,997868.5000,0.017280000
102,"Fashion Brand Awareness",2019,"Designer Fashion Promo",1295450,7234,0.00558,997868.5000,0.017280000
103,"B2B SaaS Lead Generation",2029,"Marketing SaaS Banner",1353746,7405,0.00547,1026021.0000,0.022168333
103,"B2B SaaS Lead Generation",2034,"Business Software Video",1331926,7925,0.00595,1026021.0000,0.022168333
103,"B2B SaaS Lead Generation",2026,"Startup SaaS Video",1030674,21798,0.02115,1026021.0000,0.022168333
104,"New Fitness App Launch",2039,"Workout Tracker Ad",1356471,7052,0.00520,1012381.4000,0.019908000
104,"New Fitness App Launch",2044,"Healthy Lifestyle App",1305923,7211,0.00552,1012381.4000,0.019908000
105,"Monsoon Sale Campaign",2054,"Luxury Sale Video",1323435,6660,0.00503,999223.8889,0.019553333
105,"Monsoon Sale Campaign",2049,"Monsoon Discount Banner",1292228,7249,0.00561,999223.8889,0.019553333
106,"Laptop Back to College",2059,"Developer Laptop Upgrade",1308497,6694,0.00512,983414.0000,0.017192222
106,"Laptop Back to College",2064,"Budget Laptop Picks",1282177,7400,0.00577,983414.0000,0.017192222
107,"Travel Booking Promotion",2069,"Budget Travel Video",1291682,6641,0.00514,970091.3333,0.021313333
107,"Travel Booking Promotion",2066,"Travel Inspiration Video",1011007,20991,0.02076,970091.3333,0.021313333
108,"Luxury Watch Promotion",2074,"Luxury Watch Ad",1319851,7143,0.00541,1044983.5556,0.021635555
108,"Luxury Watch Promotion",2079,"Elite Watch Promo",1277546,7624,0.00597,1044983.5556,0.021635555
109,"Cloud Software Awareness",2089,"Startup Tech Platform",1320500,7181,0.00544,1012102.3333,0.020640000
109,"Cloud Software Awareness",2084,"Cloud Infrastructure Video",1312355,7998,0.00609,1012102.3333,0.020640000
110,"Mobile Game Launch",2094,"Mobile Gaming Promo",1365854,7268,0.00532,1014508.5556,0.019718888
110,"Mobile Game Launch",2099,"Gaming Launch Trailer",1304566,7147,0.00548,1014508.5556,0.019718888
110,"Mobile Game Launch",2096,"Student Gaming Video",1023540,20120,0.01966,1014508.5556,0.019718888
111,"Festival Electronics Deals",2109,"Programming Hardware Promo",1309023,7342,0.00561,977954.5556,0.017544444
111,"Festival Electronics Deals",2104,"Festival Laptop Offer",1278148,6946,0.00543,977954.5556,0.017544444
112,"Beauty Product Launch",2114,"Luxury Beauty Video",1306986,7241,0.00554,1014802.1818,0.022107272
112,"Beauty Product Launch",2119,"Organic Skincare Banner",1301705,7092,0.00545,1014802.1818,0.022107272
112,"Beauty Product Launch",2111,"Beauty Routine Video",1025170,22298,0.02175,1014802.1818,0.022107272
113,"Fintech App Lead Campaign",2129,"Fintech Payment Promo",1343047,7715,0.00574,983063.6667,0.017693333
113,"Fintech App Lead Campaign",2124,"Business Finance Tools",1264749,8010,0.00633,983063.6667,0.017693333
114,"Protein Supplement Campaign",2134,"Wellness Nutrition Video",1321511,7141,0.00540,962374.6667,0.022166666
114,"Protein Supplement Campaign",2136,"Fitness Lifestyle Ad",1013297,21861,0.02157,962374.6667,0.022166666
115,"Home Decor Awareness",2144,"Premium Decor Promo",1299238,7105,0.00547,1035916.1111,0.021220000
115,"Home Decor Awareness",2139,"Home Decor Banner",1279124,6906,0.00540,1035916.1111,0.021220000
116,"Smartphone Launch Ads",2154,"Smartphone Discount Banner",1317848,6667,0.00506,1009898.6154,0.019313076
116,"Smartphone Launch Ads",2159,"Smartphone Upgrade Promo",1312957,7470,0.00569,1009898.6154,0.019313076
116,"Smartphone Launch Ads",2149,"Smartphone Launch Video",1301953,6959,0.00535,1009898.6154,0.019313076
117,"HR Software Lead Gen",2164,"Startup HR Tools",1323689,8487,0.00641,987615.5556,0.018222222
117,"HR Software Lead Gen",2169,"Workforce Analytics Promo",1320188,7811,0.00592,987615.5556,0.018222222
118,"Online Grocery Discount",2174,"Family Shopping Video",1289545,6948,0.00539,970899.2222,0.022152222
118,"Online Grocery Discount",2176,"Healthy Food Ad",1021860,21669,0.02121,970899.2222,0.022152222
119,"Meditation App Promotion",2184,"Relaxation Promo",1330246,7369,0.00554,1046695.0000,0.020902222
119,"Meditation App Promotion",2179,"Meditation App Banner",1310735,7457,0.00569,1046695.0000,0.020902222
120,"Crypto Trading Platform Ads",2194,"Crypto Trading Banner",1349633,7017,0.00520,1005671.4615,0.019753846
120,"Crypto Trading Platform Ads",2189,"Crypto Platform Video",1280814,7306,0.00570,1005671.4615,0.019753846
120,"Crypto Trading Platform Ads",2199,"Crypto Market Insights",1265197,6274,0.00496,1005671.4615,0.019753846
