campaign_id,campaign_name,total_clicks,total_cpc,campaign_rank
103,"B2B SaaS Lead Generation",285063,2.0117707,1
120,"Crypto Trading Platform Ads",271048,2.2024453,2
116,"Smartphone Launch Ads",268007,2.2058751,3
112,"Beauty Product Launch",259955,2.1170286,4
101,"Summer Electronics Sale",253425,1.9101007,5
102,"Fashion Brand Awareness",215088,2.1949876,6
104,"New Fitness App Launch",211704,1.9418947,7
118,"Online Grocery Discount",208833,2.0182459,8
108,"Luxury Watch Promotion",208582,1.8401902,9
114,"Protein Supplement Campaign",206642,2.0935848,10
115,"Home Decor Awareness",201531,1.9437571,11
119,"Meditation App Promotion",201249,2.0034809,12
107,"Travel Booking Promotion",200701,2.1756532,13
109,"Cloud Software Awareness",197560,1.9949265,14
110,"Mobile Game Launch",189962,2.0018349,15
105,"Monsoon Sale Campaign",184929,2.1979527,16
117,"HR Software Lead Gen",166417,1.9346188,17
113,"Fintech App Lead Campaign",162382,1.9589805,18
111,"Festival Electronics Deals",159471,1.9165672,19
106,"Laptop Back to College",156756,2.0534233,20
