campaign_id,campaign_name,total_impressions,total_clicks,total_spend,ctr,cpc
120,"Crypto Trading Platform Ads",13073729,271048,596968.39,0.02073,2.2024453
116,"Smartphone Launch Ads",13128682,268007,591189.98,0.02041,2.2058751
103,"B2B SaaS Lead Generation",12312252,285063,573481.38,0.02315,2.0117707
112,"Beauty Product Launch",11162824,259955,550332.17,0.02329,2.1170286
101,"Summer Electronics Sale",12021209,253425,484067.27,0.02108,1.9101007
102,"Fashion Brand Awareness",11974422,215088,472115.50,0.01796,2.1949876
107,"Travel Booking Promotion",8730822,200701,436655.78,0.02299,2.1756532
114,"Protein Supplement Campaign",8661372,206642,432622.55,0.02386,2.0935848
118,"Online Grocery Discount",8738093,208833,421476.35,0.02390,2.0182459
104,"New Fitness App Launch",10123814,211704,411106.88,0.02091,1.9418947
105,"Monsoon Sale Campaign",8993015,184929,406465.19,0.02056,2.1979527
119,"Meditation App Promotion",9420255,201249,403198.52,0.02136,2.0034809
109,"Cloud Software Awareness",9108921,197560,394117.68,0.02169,1.9949265
115,"Home Decor Awareness",9323245,201531,391727.32,0.02162,1.9437571
108,"Luxury Watch Promotion",9404852,208582,383830.55,0.02218,1.8401902
110,"Mobile Game Launch",9130577,189962,380272.57,0.02081,2.0018349
117,"HR Software Lead Gen",8888540,166417,321953.45,0.01872,1.9346188
106,"Laptop Back to College",8850726,156756,321886.42,0.01771,2.0534233
113,"Fintech App Lead Campaign",8847573,162382,318103.17,0.01835,1.9589805
111,"Festival Electronics Deals",8801591,159471,305636.88,0.01812,1.9165672
