campaign_id,campaign_name,ad_id,ad_name,total_impressions,total_clicks,total_spend,cpc,cpc_rank
101,"Summer Electronics Sale",2009,"Developer Laptop Ad",1316127,7598,5942.20,0.7820742,1
101,"Summer Electronics Sale",2004,"Top Gadget Deals",1284430,7552,6220.54,0.8236944,2
101,"Summer Electronics Sale",2007,"Productivity Laptop Banner",930812,17607,23372.31,1.3274442,3
101,"Summer Electronics Sale",2001,"Electronics Sale Banner",1028972,21421,30638.00,1.4302787,4
101,"Summer Electronics Sale",2002,"Electronics Flash Sale",871204,17661,25657.18,1.4527592,5
101,"Summer Electronics Sale",2011,"Programming Laptop Deal",1038061,23689,35002.48,1.4775837,6
101,"Summer Electronics Sale",2012,"Developer Hardware Promo",909276,16655,24828.03,1.4907253,7
101,"Summer Electronics Sale",2006,"Office Laptop Video",1027532,23793,35865.59,1.5074009,8
101,"Summer Electronics Sale",2005,"Professional Laptop Ad",1222605,55107,112873.95,2.0482688,9
101,"Summer Electronics Sale",2010,"Coding Laptop Video",1199503,52002,116713.36,2.2444014,10
101,"Summer Electronics Sale",2003,"Electronics Promo Video",602122,5065,31622.94,6.2434235,11
101,"Summer Electronics Sale",2008,"Premium Laptop Offer",590565,5275,35330.69,6.6977611,12
102,"Fashion Brand Awareness",2014,"Fashion Video Lookbook",1326771,7850,6328.58,0.8061885,1
102,"Fashion Brand Awareness",2019,"Designer Fashion Promo",1295450,7234,6530.60,0.9027647,2
102,"Fashion Brand Awareness",2024,"Budget Fashion Picks",1307662,6060,6446.46,1.0637723,3
102,"Fashion Brand Awareness",2021,"Discount Fashion Banner",998561,22267,29819.80,1.3391925,4
102,"Fashion Brand Awareness",2022,"Fashion Sale Video",897466,16960,23763.86,1.4011710,5
102,"Fashion Brand Awareness",2017,"Luxury Fashion Ad",910137,16277,23882.66,1.4672642,6
102,"Fashion Brand Awareness",2016,"Trending Fashion Picks",997343,22020,35118.28,1.5948356,7
102,"Fashion Brand Awareness",2015,"Fashion Style Ad",1196836,51568,113076.45,2.1927639,8
102,"Fashion Brand Awareness",2020,"Premium Style Banner",1221808,48073,123747.96,2.5741676,9
102,"Fashion Brand Awareness",2023,"Fashion Discount Promo",610542,6066,35277.63,5.8156330,10
102,"Fashion Brand Awareness",2018,"Luxury Style Video",597884,5355,32408.88,6.0520784,11
102,"Fashion Brand Awareness",2013,"Fashion Trend Banner",613962,5358,35714.34,6.6656103,12
103,"B2B SaaS Lead Generation",2034,"Business Software Video",1331926,7925,5358.72,0.6761792,1
103,"B2B SaaS Lead Generation",2029,"Marketing SaaS Banner",1353746,7405,6462.05,0.8726604,2
103,"B2B SaaS Lead Generation",2031,"Campaign Analytics Promo",998839,21715,28260.78,1.3014405,3
103,"B2B SaaS Lead Generation",2027,"Startup Platform Promo",906472,18317,26446.31,1.4438123,4
103,"B2B SaaS Lead Generation",2036,"Business Growth Tools",1019834,21216,32809.22,1.5464376,5
103,"B2B SaaS Lead Generation",2026,"Startup SaaS Video",1030674,21798,33763.92,1.5489458,6
103,"B2B SaaS Lead Generation",2032,"Digital Marketing Tools",892431,18214,29051.64,1.5950170,7
103,"B2B SaaS Lead Generation",2035,"Business Productivity Ad",1177816,55766,114294.15,2.0495311,8
103,"B2B SaaS Lead Generation",2025,"Startup SaaS Ad",1199317,51081,112768.86,2.2076479,9
103,"B2B SaaS Lead Generation",2030,"Marketing SaaS Video",1202722,50749,121003.57,2.3843538,10
103,"B2B SaaS Lead Generation",2028,"Founder Productivity Ad",596764,5332,29106.09,5.4587566,11
103,"B2B SaaS Lead Generation",2033,"Small Business SaaS",601711,5545,34156.07,6.1597962,12
104,"New Fitness App Launch",2044,"Healthy Lifestyle App",1305923,7211,6049.28,0.8388961,1
104,"New Fitness App Launch",2039,"Workout Tracker Ad",1356471,7052,6377.32,0.9043279,2
104,"New Fitness App Launch",2041,"Mobile Fitness Tracker",1006911,23457,32870.31,1.4013007,3
104,"New Fitness App Launch",2042,"Smart Fitness Video",883969,16733,23793.21,1.4219333,4
104,"New Fitness App Launch",2037,"Fitness App Banner",895672,16788,23878.18,1.4223362,5
104,"New Fitness App Launch",2046,"Health Journey Promo",1036520,23502,36217.93,1.5410574,6
104,"New Fitness App Launch",2045,"Wellness Tracker Video",1222863,52062,102657.69,1.9718353,7
104,"New Fitness App Launch",2040,"Fitness Challenge Promo",1211071,54637,115092.54,2.1064945,8
104,"New Fitness App Launch",2038,"Fitness App Video",599799,5478,33463.93,6.1087861,9
104,"New Fitness App Launch",2043,"Daily Workout App",604615,4784,30706.49,6.4185807,10
105,"Monsoon Sale Campaign",2049,"Monsoon Discount Banner",1292228,7249,6227.18,0.8590399,1
105,"Monsoon Sale Campaign",2054,"Luxury Sale Video",1323435,6660,6000.15,0.9009234,2
105,"Monsoon Sale Campaign",2052,"Monsoon Style Video",896623,16911,25068.89,1.4824014,3
105,"Monsoon Sale Campaign",2051,"Rainy Season Fashion",993907,22259,35197.74,1.5812813,4
105,"Monsoon Sale Campaign",2047,"Monsoon Electronics Sale",867414,17043,29949.27,1.7572769,5
105,"Monsoon Sale Campaign",2050,"Monsoon Fashion Picks",1200562,54880,113495.64,2.0680692,6
105,"Monsoon Sale Campaign",2055,"Exclusive Luxury Offer",1194924,49194,116260.77,2.3633120,7
105,"Monsoon Sale Campaign",2053,"Premium Monsoon Deals",624153,5317,34823.70,6.5495016,8
105,"Monsoon Sale Campaign",2048,"Rainy Season Sale Video",599769,5416,39441.85,7.2824686,9
106,"Laptop Back to College",2064,"Budget Laptop Picks",1282177,7400,6102.13,0.8246122,1
106,"Laptop Back to College",2059,"Developer Laptop Upgrade",1308497,6694,6626.95,0.9899836,2
106,"Laptop Back to College",2056,"Student Laptop Offer",1045632,23542,32553.52,1.3827848,3
106,"Laptop Back to College",2062,"Laptop Discount Banner",904790,17739,26344.19,1.4851001,4
106,"Laptop Back to College",2061,"Programming Laptop Deal",1000109,22666,34368.37,1.5162962,5
106,"Laptop Back to College",2057,"Back to College Video",888865,16359,27237.12,1.6649624,6
106,"Laptop Back to College",2060,"Developer Laptop Video",1202904,51487,125156.44,2.4308357,7
106,"Laptop Back to College",2058,"Student Tech Promo",601919,5638,32505.19,5.7653760,8
106,"Laptop Back to College",2063,"Laptop Sale Video",615833,5231,30992.51,5.9247773,9
107,"Travel Booking Promotion",2069,"Budget Travel Video",1291682,6641,6163.55,0.9281057,1
107,"Travel Booking Promotion",2067,"Holiday Booking Promo",916449,17418,23683.03,1.3596871,2
107,"Travel Booking Promotion",2072,"City Break Video",901850,17547,26755.71,1.5248025,3
107,"Travel Booking Promotion",2066,"Travel Inspiration Video",1011007,20991,33420.57,1.5921381,4
107,"Travel Booking Promotion",2071,"Urban Travel Ad",1023592,23629,38204.76,1.6168589,5
107,"Travel Booking Promotion",2070,"Travel Discount Banner",1203600,52465,115365.29,2.1989000,6
107,"Travel Booking Promotion",2065,"Travel Deals Banner",1204670,51272,120117.61,2.3427526,7
107,"Travel Booking Promotion",2068,"Cheap Flight Deals",597856,5573,36920.88,6.6249560,8
