campaign_id,campaign_name,date,total_impressions,total_clicks,daily_ctr,rolling_7_day_ctr,ctr_difference
101,"Summer Electronics Sale",2025-01-01,146456,2623,0.01791,0.017910000,0.000000000
101,"Summer Electronics Sale",2025-01-02,143506,2930,0.02042,0.019165000,0.001255000
101,"Summer Electronics Sale",2025-01-03,167264,3324,0.01987,0.019400000,0.000470000
101,"Summer Electronics Sale",2025-01-04,152470,3906,0.02562,0.020955000,0.004665000
101,"Summer Electronics Sale",2025-01-05,151542,3378,0.02229,0.021222000,0.001068000
101,"Summer Electronics Sale",2025-01-06,158222,3077,0.01945,0.020926666,-0.001476666
101,"Summer Electronics Sale",2025-01-07,171786,3549,0.02066,0.020888571,-0.000228571
101,"Summer Electronics Sale",2025-01-08,160668,2903,0.01807,0.020911428,-0.002841428
101,"Summer Electronics Sale",2025-01-09,159984,3033,0.01896,0.020702857,-0.001742857
101,"Summer Electronics Sale",2025-01-10,164827,4014,0.02435,0.021342857,0.003007143
101,"Summer Electronics Sale",2025-01-11,140449,3011,0.02144,0.020745714,0.000694286
101,"Summer Electronics Sale",2025-01-12,163410,3560,0.02179,0.020674285,0.001115715
101,"Summer Electronics Sale",2025-01-13,169267,2978,0.01759,0.020408571,-0.002818571
101,"Summer Electronics Sale",2025-01-14,156517,2408,0.01538,0.019654285,-0.004274285
101,"Summer Electronics Sale",2025-01-15,160722,2833,0.01763,0.019591428,-0.001961428
101,"Summer Electronics Sale",2025-01-16,150219,3544,0.02359,0.020252857,0.003337143
101,"Summer Electronics Sale",2025-01-17,156352,4303,0.02752,0.020705714,0.006814286
101,"Summer Electronics Sale",2025-01-18,162326,3944,0.02430,0.021114285,0.003185715
101,"Summer Electronics Sale",2025-01-19,160440,3453,0.02152,0.021075714,0.000444286
101,"Summer Electronics Sale",2025-01-20,155969,3133,0.02009,0.021432857,-0.001342857
101,"Summer Electronics Sale",2025-01-21,150997,2859,0.01893,0.021940000,-0.003010000
101,"Summer Electronics Sale",2025-01-22,167339,2955,0.01766,0.021944285,-0.004284285
101,"Summer Electronics Sale",2025-01-23,163466,3818,0.02336,0.021911428,0.001448572
101,"Summer Electronics Sale",2025-01-24,158495,3787,0.02389,0.021392857,0.002497143
101,"Summer Electronics Sale",2025-01-25,159418,3550,0.02227,0.021102857,0.001167143
101,"Summer Electronics Sale",2025-01-26,162754,3334,0.02048,0.020954285,-0.000474285
101,"Summer Electronics Sale",2025-01-27,169816,3435,0.02023,0.020974285,-0.000744285
101,"Summer Electronics Sale",2025-01-28,156247,3401,0.02177,0.021380000,0.000390000
101,"Summer Electronics Sale",2025-01-29,170260,3202,0.01881,0.021544285,-0.002734285
101,"Summer Electronics Sale",2025-01-30,150881,3281,0.02175,0.021314285,0.000435715
101,"Summer Electronics Sale",2025-01-31,164873,4301,0.02609,0.021628571,0.004461429
101,"Summer Electronics Sale",2025-02-01,167314,3055,0.01826,0.021055714,-0.002795714
101,"Summer Electronics Sale",2025-02-02,155254,3736,0.02406,0.021567142,0.002492858
101,"Summer Electronics Sale",2025-02-03,159354,3047,0.01912,0.021408571,-0.002288571
101,"Summer Electronics Sale",2025-02-04,156132,3499,0.02241,0.021500000,0.000910000
101,"Summer Electronics Sale",2025-02-05,160559,3511,0.02187,0.021937142,-0.000067142
101,"Summer Electronics Sale",2025-02-06,172266,3872,0.02248,0.022041428,0.000438572
101,"Summer Electronics Sale",2025-02-07,173506,2962,0.01707,0.020752857,-0.003682857
101,"Summer Electronics Sale",2025-02-08,168955,4342,0.02570,0.021815714,0.003884286
101,"Summer Electronics Sale",2025-02-09,150243,3585,0.02386,0.021787142,0.002072858
101,"Summer Electronics Sale",2025-02-10,163520,3896,0.02383,0.022460000,0.001370000
101,"Summer Electronics Sale",2025-02-11,161817,3110,0.01922,0.022004285,-0.002784285
101,"Summer Electronics Sale",2025-02-12,158569,2946,0.01858,0.021534285,-0.002954285
101,"Summer Electronics Sale",2025-02-13,157861,2538,0.01608,0.020620000,-0.004540000
101,"Summer Electronics Sale",2025-02-14,165692,3465,0.02091,0.021168571,-0.000258571
101,"Summer Electronics Sale",2025-02-15,164313,2984,0.01816,0.020091428,-0.001931428
101,"Summer Electronics Sale",2025-02-16,161243,3515,0.02180,0.019797142,0.002002858
101,"Summer Electronics Sale",2025-02-17,156768,3149,0.02009,0.019262857,0.000827143
101,"Summer Electronics Sale",2025-02-18,170625,3682,0.02158,0.019600000,0.001980000
101,"Summer Electronics Sale",2025-02-19,160926,3177,0.01974,0.019765714,-0.000025714
101,"Summer Electronics Sale",2025-02-20,164189,4258,0.02593,0.021172857,0.004757143
101,"Summer Electronics Sale",2025-02-21,161837,2121,0.01311,0.020058571,-0.006948571
101,"Summer Electronics Sale",2025-02-22,158714,3795,0.02391,0.020880000,0.003030000
101,"Summer Electronics Sale",2025-02-23,162082,2308,0.01424,0.019800000,-0.005560000
101,"Summer Electronics Sale",2025-02-24,152222,3831,0.02517,0.020525714,0.004644286
101,"Summer Electronics Sale",2025-02-25,169339,3850,0.02274,0.020691428,0.002048572
101,"Summer Electronics Sale",2025-02-26,158703,2760,0.01739,0.020355714,-0.002965714
101,"Summer Electronics Sale",2025-02-27,160314,3237,0.02019,0.019535714,0.000654286
101,"Summer Electronics Sale",2025-02-28,155976,3776,0.02421,0.021121428,0.003088572
101,"Summer Electronics Sale",2025-03-01,164280,3440,0.02094,0.020697142,0.000242858
101,"Summer Electronics Sale",2025-03-02,152017,3334,0.02193,0.021795714,0.000134286
101,"Summer Electronics Sale",2025-03-03,158727,2794,0.01760,0.020714285,-0.003114285
101,"Summer Electronics Sale",2025-03-04,170080,4114,0.02419,0.020921428,0.003268572
101,"Summer Electronics Sale",2025-03-05,167697,3055,0.01822,0.021040000,-0.002820000
101,"Summer Electronics Sale",2025-03-06,148496,3188,0.02147,0.021222857,0.000247143
101,"Summer Electronics Sale",2025-03-07,162886,3971,0.02438,0.021247142,0.003132858
101,"Summer Electronics Sale",2025-03-08,169654,2764,0.01629,0.020582857,-0.004292857
101,"Summer Electronics Sale",2025-03-09,163016,3232,0.01983,0.020282857,-0.000452857
101,"Summer Electronics Sale",2025-03-10,161875,3745,0.02314,0.021074285,0.002065715
101,"Summer Electronics Sale",2025-03-11,154700,2825,0.01826,0.020227142,-0.001967142
101,"Summer Electronics Sale",2025-03-12,170604,3604,0.02112,0.020641428,0.000478572
101,"Summer Electronics Sale",2025-03-13,164875,3557,0.02157,0.020655714,0.000914286
101,"Summer Electronics Sale",2025-03-14,137215,3887,0.02833,0.021220000,0.007110000
101,"Summer Electronics Sale",2025-03-15,165730,4092,0.02469,0.022420000,0.002270000
101,"Summer Electronics Sale",2025-03-16,154122,3989,0.02588,0.023284285,0.002595715
102,"Fashion Brand Awareness",2025-01-01,168107,2529,0.01504,0.015040000,0.000000000
102,"Fashion Brand Awareness",2025-01-02,157275,3204,0.02037,0.017705000,0.002665000
102,"Fashion Brand Awareness",2025-01-03,166089,1921,0.01157,0.015660000,-0.004090000
102,"Fashion Brand Awareness",2025-01-04,149590,3207,0.02144,0.017105000,0.004335000
102,"Fashion Brand Awareness",2025-01-05,158129,3486,0.02205,0.018094000,0.003956000
102,"Fashion Brand Awareness",2025-01-06,164747,3368,0.02044,0.018485000,0.001955000
102,"Fashion Brand Awareness",2025-01-07,155249,2934,0.01890,0.018544285,0.000355715
