date,total_spend,total_clicks
2025-01-01,110244.43,56259
2025-01-02,114558.20,52622
2025-01-03,112847.73,56133
2025-01-04,115267.00,56040
2025-01-05,118522.70,57135
2025-01-06,115742.86,53687
2025-01-07,119223.91,57923
2025-01-08,118490.10,54872
2025-01-09,115395.28,51460
2025-01-10,120974.74,57359
2025-01-11,119701.18,53867
2025-01-12,112834.37,56067
2025-01-13,111338.15,57328
2025-01-14,115219.55,57094
2025-01-15,119795.38,55891
2025-01-16,114246.34,58234
2025-01-17,117518.63,56298
2025-01-18,122330.50,54608
2025-01-19,108887.42,56380
2025-01-20,109402.90,57045
2025-01-21,115319.51,54894
2025-01-22,113367.59,55194
2025-01-23,120908.46,56956
2025-01-24,113306.61,55214
2025-01-25,119152.36,55936
2025-01-26,110793.17,57582
2025-01-27,109372.41,55844
2025-01-28,121031.45,53964
2025-01-29,116038.97,54546
2025-01-30,119319.74,55359
2025-01-31,111740.61,57729
2025-02-01,117733.50,58375
2025-02-02,106983.25,55506
2025-02-03,124401.77,50843
2025-02-04,113390.28,54238
2025-02-05,111848.05,58782
2025-02-06,114115.73,55003
2025-02-07,122055.88,58461
2025-02-08,108695.99,55836
2025-02-09,114212.06,58479
2025-02-10,119960.43,57021
2025-02-11,118832.37,58829
2025-02-12,115595.09,56140
2025-02-13,124077.43,54829
2025-02-14,110692.79,55849
2025-02-15,123373.41,56141
2025-02-16,117778.44,54497
2025-02-17,110187.69,58931
2025-02-18,117973.33,53509
2025-02-19,118580.97,57703
2025-02-20,104595.55,57618
2025-02-21,124113.84,51588
2025-02-22,108256.37,54065
2025-02-23,119162.97,51488
2025-02-24,100618.82,56304
2025-02-25,107416.37,58420
2025-02-26,115299.28,57407
2025-02-27,114701.68,58648
2025-02-28,112841.66,57410
2025-03-01,110160.02,57206
2025-03-02,118169.67,58696
2025-03-03,119836.93,54930
2025-03-04,121471.78,61641
2025-03-05,107994.01,52991
2025-03-06,116061.48,59587
2025-03-07,111560.60,52511
2025-03-08,102778.92,56107
2025-03-09,107006.93,57323
2025-03-10,109669.54,59846
2025-03-11,110274.69,55116
2025-03-12,127330.04,53625
2025-03-13,116649.31,56197
2025-03-14,111988.46,55236
2025-03-15,103981.89,57997
2025-03-16,101886.48,58856
