campaign_id,campaign_name,total_impressions,total_clicks,total_spend,ctr,average_ctr
120,"Crypto Trading Platform Ads",13073729,271048,596968.39,0.02073,0.020970000
116,"Smartphone Launch Ads",13128682,268007,591189.98,0.02041,0.020970000
102,"Fashion Brand Awareness",11974422,215088,472115.50,0.01796,0.020970000
104,"New Fitness App Launch",10123814,211704,411106.88,0.02091,0.020970000
105,"Monsoon Sale Campaign",8993015,184929,406465.19,0.02056,0.020970000
110,"Mobile Game Launch",9130577,189962,380272.57,0.02081,0.020970000
117,"HR Software Lead Gen",8888540,166417,321953.45,0.01872,0.020970000
106,"Laptop Back to College",8850726,156756,321886.42,0.01771,0.020970000
113,"Fintech App Lead Campaign",8847573,162382,318103.17,0.01835,0.020970000
111,"Festival Electronics Deals",8801591,159471,305636.88,0.01812,0.020970000
