ad_id,ad_name,total_impressions,total_clicks,ctr,ctr_rank
2165,"Startup HR Video",1157281,57261,0.04948,1
2130,"Gym Fitness Ad",1147539,56106,0.04889,2
2085,"Developer Cloud Platform",1178527,56603,0.04803,3
2170,"Online Grocery Deals",1172565,56273,0.04799,4
2080,"Smart Luxury Watch",1198205,57004,0.04757,5
2120,"Skincare Essentials",1165149,55321,0.04748,6
2035,"Business Productivity Ad",1177816,55766,0.04735,7
2145,"Urban Lifestyle Decor",1144868,53391,0.04664,8
2135,"Protein Nutrition Promo",1187916,54580,0.04595,9
2105,"Laptop Festival Video",1193118,54612,0.04577,10
