platform_id,platform_name,year_week,total_impressions,total_clicks,total_spend,ctr
1,"Google Ads",202501,3200358,139758,313820.10,0.04367
3,"LinkedIn Ads",202501,2389151,46871,62320.95,0.01962
2,"Meta Ads",202501,2711858,58520,87120.03,0.02158
4,"TikTok Ads",202501,1587332,13873,92188.07,0.00874
5,"X Ads",202501,3428338,19167,15990.91,0.00559
1,"Google Ads",202502,4448741,194229,452325.79,0.04366
3,"LinkedIn Ads",202502,3299246,62621,93122.93,0.01898
2,"Meta Ads",202502,3749306,81698,126424.85,0.02179
4,"TikTok Ads",202502,2249229,19804,127822.71,0.00880
5,"X Ads",202502,4863137,26883,22666.16,0.00553
1,"Google Ads",202503,4475508,198950,441600.04,0.04445
3,"LinkedIn Ads",202503,3332624,66026,95712.90,0.01981
2,"Meta Ads",202503,3796424,83171,118868.05,0.02191
4,"TikTok Ads",202503,2226882,20552,131349.53,0.00923
5,"X Ads",202503,4917992,27134,21805.45,0.00552
1,"Google Ads",202504,4522946,198098,432125.81,0.04380
3,"LinkedIn Ads",202504,3382665,65139,91971.28,0.01926
2,"Meta Ads",202504,3776602,83150,126359.78,0.02202
4,"TikTok Ads",202504,2209537,18950,129732.53,0.00858
5,"X Ads",202504,4877494,27484,22061.20,0.00563
1,"Google Ads",202505,4454108,196369,430757.98,0.04409
3,"LinkedIn Ads",202505,3367863,66122,95118.18,0.01963
2,"Meta Ads",202505,3747977,83039,122265.47,0.02216
4,"TikTok Ads",202505,2242327,18820,130868.72,0.00839
5,"X Ads",202505,4866605,26973,23209.58,0.00554
1,"Google Ads",202506,4459218,197325,426548.09,0.04425
3,"LinkedIn Ads",202506,3381398,65280,101427.30,0.01931
2,"Meta Ads",202506,3797187,82617,126224.88,0.02176
4,"TikTok Ads",202506,2266023,19625,131923.28,0.00866
5,"X Ads",202506,4883493,26795,22596.21,0.00549
1,"Google Ads",202507,4441985,196784,452375.80,0.04430
3,"LinkedIn Ads",202507,3382706,64340,99350.79,0.01902
2,"Meta Ads",202507,3828965,83612,122483.97,0.02184
4,"TikTok Ads",202507,2244449,20426,131406.16,0.00910
5,"X Ads",202507,4872862,28144,24693.24,0.00578
1,"Google Ads",202508,4414374,191329,434679.35,0.04334
3,"LinkedIn Ads",202508,3349393,62879,93979.13,0.01877
2,"Meta Ads",202508,3739627,85186,128660.61,0.02278
4,"TikTok Ads",202508,2230850,19807,121956.71,0.00888
5,"X Ads",202508,4924592,25701,23594.92,0.00522
1,"Google Ads",202509,4440865,204517,413295.12,0.04605
3,"LinkedIn Ads",202509,3342617,67559,92926.40,0.02021
2,"Meta Ads",202509,3783946,84780,125665.56,0.02241
4,"TikTok Ads",202509,2277387,19918,125758.29,0.00875
5,"X Ads",202509,4991884,27317,21562.13,0.00547
1,"Google Ads",202510,4517195,196139,418772.16,0.04342
3,"LinkedIn Ads",202510,3374074,67232,97916.96,0.01993
2,"Meta Ads",202510,3820621,84572,122478.18,0.02214
4,"TikTok Ads",202510,2256048,20024,125705.71,0.00888
5,"X Ads",202510,4864666,27123,21837.64,0.00558
1,"Google Ads",202511,4441717,201393,412967.98,0.04534
3,"LinkedIn Ads",202511,3336809,64364,94355.05,0.01929
2,"Meta Ads",202511,3749150,83318,123121.65,0.02222
4,"TikTok Ads",202511,2265693,20364,128150.92,0.00899
5,"X Ads",202511,4892470,27434,23184.81,0.00561
